Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@yeahyeahh,200 ,99,35 ,4.9,,https://www.depop.com/yeahyeahh/
@lo4,97 ,99,61 ,5,,https://www.depop.com/lo4/
@_rackzo,273 ,98,62 ,5,https://instagram.com/rackzos_sneakers,https://www.depop.com/_rackzo/
@jspatch,145 ,97,68 ,5,,https://www.depop.com/jspatch/
@dscartel,944 ,96 ,80 ,5,https://www.instagram.com/ds.cartel/,https://www.depop.com/dscartel/
@janeylayd,898 ,96 ,49 ,4.7,,https://www.depop.com/janeylayd/
@harryselbs,470 ,96,88 ,5,https://instagram.com/harryselby_,https://www.depop.com/harryselbs/
@ohlclothing,387 ,96,50 ,5,https://www.instagram.com/ollylaidlaw/,https://www.depop.com/ohlclothing/
@fazeaubrey,464 ,95,60 ,5,,https://www.depop.com/fazeaubrey/
@eyydiablo,334 ,95,102 ,5,,https://www.depop.com/eyydiablo/
@joereid2001,"1,961 ",93 ,46 ,4.9,,https://www.depop.com/joereid2001/
